stock,sell_p,cash_start,cash_after,position,AO_start,AO_sell,jaw,teeth,lips,ind,date_buy,date_sell
tsla,64.0795997619629,"$10,000",10386.413233494166,162.08611277343607,12.019711516885202,12.3692289128023,53.772956620544726,55.738526582718336,57.73934876473133,712,2019-10-30 00:00:00,2019-10-31 00:00:00
tsla,63.46999969482422,"$10,000",10500.767626158658,165.444582899769,9.979194046469296,12.019711516885202,53.09247991407338,54.76369468144058,56.41566602030626,711,2019-10-29 00:00:00,2019-10-30 00:00:00
tsla,63.46999969482422,"$10,000",10639.974162652965,167.63784801972548,9.979194046469296,12.019711516885202,53.09247991407338,54.76369468144058,56.41566602030626,711,2019-10-29 00:00:00,2019-10-30 00:00:00
tsla,58.63120040893555,"$10,000",10535.251129166827,179.68677181579974,5.347300103131467,7.8373232000014355,51.847849528697594,52.86326244732447,53.58418315665224,709,2019-10-25 00:00:00,2019-10-28 00:00:00
tsla,58.63120040893555,"$10,000",10938.330299055226,186.5615955798885,5.347300103131467,7.8373232000014355,51.847849528697594,52.86326244732447,53.58418315665224,709,2019-10-25 00:00:00,2019-10-28 00:00:00
tsla,61.056800079345706,"$10,000",10791.157505149504,176.73965047506536,7.8373232000014355,9.979194046469296,52.45244809729086,53.790979646177284,54.983362547050305,710,2019-10-28 00:00:00,2019-10-29 00:00:00
tsla,58.63120040893555,"$10,000",10850.636927953201,185.06591801418304,5.347300103131467,7.8373232000014355,51.847849528697594,52.86326244732447,53.58418315665224,709,2019-10-25 00:00:00,2019-10-28 00:00:00
tsla,51.74079971313476,"$10,000",10200.61830898278,197.14844698067705,3.2357880199656748,3.455841176650104,48.93043991001409,49.31229215916742,49.8299377438869,703,2019-10-17 00:00:00,2019-10-18 00:00:00
tsla,48.66080017089844,"$10,000",10134.2043126154,208.26217976325336,2.3421703114229047,2.7760469436645536,46.07559259822808,46.23286769222882,46.64954951433897,679,2019-09-13 00:00:00,2019-09-16 00:00:00
tsla,48.15399932861328,"$10,000",11382.30953956895,236.37308838864274,1.8804116192985987,1.5659705442540783,47.23863993950661,47.545471374424,47.76676353612483,692,2019-10-02 00:00:00,2019-10-03 00:00:00
tsla,49.36679916381836,"$10,000",11042.247887672169,223.67761480807516,1.434117810866411,1.9728116540347855,48.00293969513394,48.22504756802028,48.27087495086238,699,2019-10-11 00:00:00,2019-10-14 00:00:00
tsla,51.60240020751953,"$10,000",11649.764655500756,225.7601314793715,3.455841176650104,3.3665179533116927,49.304498381399895,49.65929316778635,50.16550222758023,704,2019-10-18 00:00:00,2019-10-21 00:00:00
tsla,64.0795997619629,"$10,000",13894.704826653286,216.83507509828524,12.019711516885202,12.3692289128023,53.772956620544726,55.738526582718336,57.73934876473133,712,2019-10-30 00:00:00,2019-10-31 00:00:00
tsla,70.53000030517578,"$10,000",14247.448422879983,202.00550632685093,11.290258261736703,10.734252110649564,63.061121134407735,66.27653786200277,68.32293181932607,726,2019-11-19 00:00:00,2019-11-20 00:00:00
tsla,68.29319915771484,"$10,000",14606.671090771628,213.88178136214262,1.2436594682581301,1.4045013315537318,66.73601852755084,67.63579279064551,67.57315998577528,740,2019-12-10 00:00:00,2019-12-11 00:00:00
tsla,70.3655990600586,"$10,000",15508.869184783493,220.4041377029467,2.1321484509636406,2.780842119104719,67.55296915570726,68.42243886889445,68.5091965730251,742,2019-12-12 00:00:00,2019-12-13 00:00:00
tsla,81.88999938964844,"$10,000",18492.506988689915,225.82131061815,9.5426471934599,10.493935910393219,0,0,76.13829773965908,749,2019-12-23 00:00:00,2019-12-24 00:00:00
